alias,canonical
"ikan nasu metti, segar",ikan nasu metti segar
"ikan oci, kembung,  segar",ikan oci kembung segar
"ikan paling, segar",ikan paling segar
"ikan papuyu, bakar",ikan papuyu
"ikan papuyu/ betok,  segar",ikan papuyu betok segar
"ikan patin, bakar",ikan patin
"ikan patin, segar",ikan patin segar
"ikan peda banjar,  mentah",ikan peda banjar mentah
"ikan pepetek, mentah",ikan pepetek mentah
"ikan pindang banjar,  mentah",ikan pindang banjar mentah
"ikan pindang benggol,  mentah",ikan pindang benggol mentah
"ikan pindang layang,  mentah",ikan pindang layang mentah
"ikan pindang selar,  mentah",ikan pindang selar mentah
"ikan pomo, segar",ikan pomo segar
"ikan puntin, segar",ikan puntin segar
"ikan sale lais, mentah",ikan sale lais mentah
"ikan sale, mentah",ikan sale mentah
"ikan saluang, kering,  mentah",ikan saluang mentah
"ikan saluang, segar",ikan saluang segar
"ikan sanggang,  masakan",ikan sanggang masakan
"ikan sarden, segar",ikan sarden segar
"ikan selar kuning, cue,  mentah",ikan selar kuning cue mentah
"ikan selar, kering,  mentah",ikan selar mentah
"ikan selar, segar",ikan selar segar
"ikan sepat, kering,  mentah",ikan sepat mentah
"ikan sepat, segar",ikan sepat segar
"ikan sidat, segar",ikan sidat segar
"ikan sunu, asin,  mentah",ikan sunu asin mentah
"ikan sunu, segar",ikan sunu segar
"ikan tahuman, segar",ikan tahuman segar
"ikan tarmon, segar",ikan tarmon segar
"ikan telan, segar",ikan telan segar
"ikan tembang, segar",ikan tembang segar
"ikan tempahas, segar",ikan tempahas segar
"ikan terbang, segar",ikan terbang segar
"ikan teri nasi, kering,  mentah",ikan teri nasi mentah
"ikan teri, bubuk,  mentah",ikan teri bubuk mentah
"ikan teri, kering,  mentah",ikan teri mentah
"ikan teri, kering,  tawar, mentah",ikan teri tawar mentah
"ikan teri, segar",ikan teri segar
"ikan teri, tepung,  mentah",ikan teri tepung mentah
"ikan titang, segar",ikan titang segar
"ikan tongkol, segar",ikan tongkol segar
"ikan turi, segar",ikan turi segar
"ikan, telur, asin,  mentah",ikan telur asin mentah
"ikan, tepung, mentah",ikan tepung mentah
intip goreng,intip
"itik alabio, daging,  dendeng, mentah",itik alabio daging dendeng mentah
"jagung kuning pipil,  kering, mentah",jagung kuning pipil mentah
"jagung kuning pipil,  rebus",jagung kuning pipil
"jagung kuning, tepung",jagung kuning tepung
"jagung muda / semi,  segar",jagung muda semi segar
"jagung muda, kuning,  mentah",jagung muda kuning mentah
"jagung muda, rebus",jagung muda
"jagung nasi, mentah",jagung nasi mentah
"jagung pipil var,  harapan, kering",jagung pipil var harapan
"jagung pipil var,  metro, kering",jagung pipil var metro
"jagung, tepung putih",jagung tepung putih
"jahe, segar",jahe segar
"jali, mentah",jali mentah
"jam, selai",jam selai
"jambal goreng,  masakan",jambal masakan
"jambu air, segar",jambu air segar
jambu bj putih tdk  brbj,jambu bj putih tdk brbj
"jambu bol, segar",jambu bol segar
"jambu monyet, segar",jambu monyet segar
"jampang huma,  mentah",jampang huma mentah
"jamur kuping, kering",jamur kuping
"jamur kuping, segar",jamur kuping segar
"jamur merang, segar",jamur merang segar
"jamur tiram, segar",jamur tiram segar
"jangang bintatoeng,  masakan",jangang bintatoeng masakan
"jantung pisang, segar",jantung pisang segar
"jawawut, mentah",jawawut mentah
"jengkol, segar",jengkol segar
"jeruk bali, segar",jeruk bali segar
"jeruk banjar, segar",jeruk banjar segar
jeruk garut-keprok,jeruk garut keprok
"jeruk kalamansi, segar",jeruk kalamansi segar
"jeruk manis, segar",jeruk manis segar
"jeruk nipis, segar",jeruk nipis segar
"jeruk ragi, segar",jeruk ragi segar
"jotang, segar",jotang segar
"jukku pallu kaloa,  masakan",jukku pallu kaloa masakan
"kabau, segar",kabau segar
"kaburan, ubi, segar",kaburan ubi segar
"kacang arab, kering",kacang arab
"kacang babi, kering",kacang babi
"kacang belimbing  (kecipir), kering",kacang belimbing kecipir
"kacang belimbing,  rebus",kacang belimbing
"kacang beracun, segar",kacang beracun segar
"kacang bogor, goreng",kacang bogor
"kacang bogor, kering",kacang bogor
"kacang bogor, rebus",kacang bogor
"kacang bogor, segar",kacang bogor segar
"kacang endel, biji,  kering",kacang endel biji
"kacang ercis, segar",kacang ercis segar
"kacang galing, segar",kacang galing segar
"kacang gude, biji,  kering",kacang gude biji
"kacang gude, biji,  segar",kacang gude biji segar
"kacang gude, rebus",kacang gude
"kacang hijau var,  bakti, kering",kacang hijau var bakti
"kacang hijau var,  siwalik, kering",kacang hijau var siwalik
"kacang hijau, kering",kacang hijau
"kacang hijau, rebus",kacang hijau
"kacang hitam, kering",kacang hitam
"kacang kapri, segar",kacang kapri segar
"kacang kedelai,  goreng",kacang kedelai
"kacang kedelai, kering",kacang kedelai
"kacang kedelai, rebus",kacang kedelai
"kacang kedelai, segar",kacang kedelai segar
"kacang kincai, kering",kacang kincai
"kacang komak, segar",kacang komak segar
"kacang kuning, kering",kacang kuning
"kacang lebui /iris,  kering",kacang lebui iris
"kacang mekah,  polong, segar",kacang mekah polong segar
"kacang mentega,  kering",kacang mentega
"kacang merah /banda,  kering",kacang merah banda
"kacang merah kering,  rebus",kacang merah
"kacang merah segar,  rebus",kacang merah segar
"kacang merah tua,  kering",kacang merah tua
"kacang merah, kering",kacang merah
"kacang merah, segar",kacang merah segar
"kacang mete/biji  jambu monyet, goreng",kacang mete biji jambu monyet
"kacang mete/biji  jambu monyet, segar",kacang mete biji jambu monyet segar
"kacang panjang  ,kukus",kacang panjang
"kacang panjang, biji,  kering",kacang panjang biji
"kacang panjang, rebus",kacang panjang
"kacang panjang, segar",kacang panjang segar
kacang tanah rebus dg  kulit,kacang tanah dg kulit
kacang tanah sangan  tanpa selaput,kacang tanah sangan tanpa selaput
"kacang tanah, goreng",kacang tanah
"kacang tanah, kering",kacang tanah
"kacang tanah, rebus",kacang tanah
"kacang tolo / tunggak,  kering",kacang tolo tunggak
"kacang tolo, rebus",kacang tolo
"kacang tunis, kering",kacang tunis
"kacang uci, kering",kacang uci
"kacang urei, kering",kacang urei
"kaholeo, masakan",kaholeo masakan
"kalakai, segar",kalakai segar
"kalio ayam, masakan",kalio ayam masakan
"kalio jeroan, masakan",kalio jeroan masakan
"kalio kikil (tunjang),  masakan",kalio kikil tunjang masakan
"kalio otak, masakan",kalio otak masakan
"kalio telur, masakan",kalio telur masakan
"kambing, daging,  segar",kambing daging segar
"kangkung, kukus",kangkung
"kangkung, rebus",kangkung
"kangkung, segar",kangkung segar
"kaparende, sayur",kaparende
"kapri muda, segar",kapri muda segar
"karedok, sayur",karedok
"kawista, segar",kawista segar
kecimpring singkong  goreng,kecimpring singkong
"kecipir muda, segar",kecipir muda segar
"kecombrang, segar",kecombrang segar
"kedondong masak,  segar",kedondong masak segar
"kedondong, segar",kedondong segar
keju kacang tanah  (peanut butter),keju kacang tanah peanut butter
"kelapa hutan, kering",kelapa hutan
"kelapa muda, air,  segar",kelapa muda air segar
"kelapa muda, daging,  segar",kelapa muda daging segar
"kelapa setengah tua,  daging, segar",kelapa setengah tua daging segar
"kelapa tua, daging,  segar",kelapa tua daging segar
"kelawi,kluwih, segar",kelawi kluwih segar
"kelepon, kue",kelepon kue
"kelinci, daging, segar",kelinci daging segar
"kemang, segar",kemang segar
kembang tahu rebus,kembang tahu
"kembang turi, segar",kembang turi segar
"kenari banda, kering",kenari banda
"kenari, kering",kenari
"kentang hitam, segar",kentang hitam segar
"kentang, segar",kentang segar
"keong, segar",keong segar
"kepala susu - krim,  segar",kepala susu krim segar
"kepiting, segar",kepiting segar
"kerang, asap, mentah",kerang asap mentah
"kerang, dendeng,  mentah",kerang dendeng mentah
"kerang, segar",kerang segar
"kerbau, daging, segar",kerbau daging segar
"keribang, ubi, segar",keribang ubi segar
keripik singkong  berbumbu,keripik singkong berbumbu
keripik tempe abadi  besar,keripik tempe abadi besar
keripik tempe abadi  murni,keripik tempe abadi murni
keripik tempe abadi  sedang,keripik tempe abadi sedang
keripik tempe abadi  telur,keripik tempe abadi telur
"kerokot, segar",kerokot segar
kerupik tempe abadi  prima,kerupik tempe abadi prima
kerupuk cumi goreng,kerupuk cumi
kerupuk kemplang   (ikan) mentah,kerupuk kemplang ikan mentah
kerupuk kemplang  goreng,kerupuk kemplang
kerupuk kemplang  panggang,kerupuk kemplang
kerupuk mie kuning  goreng,kerupuk mie kuning
kerupuk udang goreng,kerupuk udang
"kesemek, segar",kesemek segar
"ketan hitam, matang",ketan hitam matang
"ketan hitam, tapai",ketan hitam tapai
"ketan putih, matang",ketan putih matang
"ketan putih, tapai",ketan putih tapai
"ketan, ketupat",ketan ketupat
ketela pohon/  singkong kukus,ketela pohon singkong
"ketela pohon/  singkong, segar",ketela pohon singkong segar
"ketimun krai, segar",ketimun krai segar
"ketimun madura,  segar",ketimun madura segar
"ketimun, segar",ketimun segar
"ketumbar, kering",ketumbar
"kodok, segar",kodok segar
"kokosan, segar",kokosan segar
"komak polong, segar",komak polong segar
"komak, segar",komak segar
"kool merah,kool putih",kool merah kool putih
"koro andong, kering",koro andong
"koro benguk, biji,  kering",koro benguk biji
"koro kerupuk, biji,  segar",koro kerupuk biji segar
"koro kerupuk, polong",koro kerupuk polong
"koro loke, biji, segar",koro loke biji segar
"koro roay, kering",koro roay
"koro wedus, biji,  kering",koro wedus biji
"koro wedus, polong",koro wedus polong
kotiu hinela tawang  nggole,kotiu hinela tawang nggole
"kranji, segar",kranji segar
"kucai muda (lokio),  segar",kucai muda lokio segar
"kucai, segar",kucai segar
"kuda, daging, segar",kuda daging segar
"kundur, segar",kundur segar
"kunyit, segar",kunyit segar
"kura-kura, segar",kura kura segar
"kuro, segar",kuro segar
kwark (quark),kwark quark
"labu air, segar",labu air segar
"labu kuning, segar",labu kuning segar
"labu siam, segar",labu siam segar
"labu waluh, segar",labu waluh segar
laksa/putu mayang,laksa putu mayang
"lamtoro biji, muda,  segar",lamtoro biji muda segar
"lamtoro biji, tua,  segar",lamtoro biji tua segar
"lamtoro var, gung  tanpa kulit",lamtoro var gung tanpa kulit
"lamtoro var, lokal  dengan kulit",lamtoro var lokal dengan kulit
"langsat, segar",langsat segar
"lantar, segar",lantar segar
lapis legit,legit
"lawar babi, masakan",lawar babi masakan
"lawar penyu, masakan",lawar penyu masakan
"lawara jangang,  masakan",lawara jangang masakan
lema/ rebung asam,lema rebung asam
lemak babi (bacon),lemak babi bacon
lemak babi (lard),lemak babi lard
lemak kerbau (lemak  sapi),lemak kerbau lemak sapi
"lemon, segar",lemon segar
lepok/ubi rumput,lepok ubi rumput
"lobak, segar",lobak segar
"lokan, segar",lokan segar
"lontar, segar",lontar segar
"lumai/leunca, segar",lumai leunca segar
"maizena, tepung",maizena tepung
"makaroni, mentah",makaroni mentah
"mangga benggala,  segar",mangga benggala segar
"mangga gedung, segar",mangga gedung segar
"mangga golek, segar",mangga golek segar
"mangga harumanis,  segar",mangga harumanis segar
"mangga indramayu,  segar",mangga indramayu segar
"mangga kopek, segar",mangga kopek segar
"mangga kwini, segar",mangga kwini segar
"mangga manalagi,  segar",mangga manalagi segar
"mangga muda, segar",mangga muda segar
"mangga, segar",mangga segar
"manggis, segar",manggis segar
"markisa squash, bd",markisa squash bd
"markisa, segar",markisa segar
"matoa, segar",matoa segar
melinjo emping tebal  goreng manis,melinjo emping tebal manis
"melinjo emping tebal,  goreng asin",melinjo emping tebal asin
melinjo emping tipis  goreng,melinjo emping tipis
"melinjo, segar",melinjo segar
"melon, segar",melon segar
"menjangan, daging,  dendeng, mentah",menjangan daging dendeng mentah
"menteng, segar",menteng segar
"merica, kering",merica
mi kering,mi
